price_total,max_guests,num_bedrooms,distance_city_center,distance_metro,attraction_index_norm,restaurant_index_norm,proximity_index,room_type_Private room,room_type_Shared room,city_Athens,city_Barcelona,city_Berlin,city_Budapest,city_Lisbon,city_London,city_Paris,city_Rome,city_Vienna,district_Berlin,district_Budapest,district_Citta metropolitana di Roma Capitale,district_Departement de Seine-Saint-Denis,district_Departement des Hauts-de-Seine,district_Departement du Val-de-Marne,district_Gemeente Amsterdam,district_Gemeente Diemen,district_Gemeente Ouder-Amstel,district_Greater London,district_Lisbon,district_Loures,district_Nomarchia Athinas,district_Oeiras,district_Other,district_Paris,district_Politischer Bezirk Modling,district_Politischer Bezirk Wien-Umgebung,district_Provincia de Barcelona,district_Rome,district_Wien Stadt,day_type_weekend
93.78817941282097,2.0,1,5.022963798088291,2.539380002594493,4.166707868490748,6.846472824200016,0.2254478839995735,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
822.1690534292767,4.0,1,0.4883892888289836,0.2394039228349863,33.421208615275404,58.34292774344904,1.113955199019396,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104.35183341275936,2.0,1,5.748311915159562,3.651621288793656,3.9859076998790086,6.646700254501156,0.184291184959023,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
463.1530546304616,3.0,2,2.13142008057136,1.904668241410844,9.255191398952537,15.69237583664536,0.3907733936607832,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
248.11012038531257,2.0,1,1.8810915643710744,0.7297467390303181,10.599010155873913,16.91625096043449,0.5379354843024685,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
736.2584712858445,4.0,2,3.719141398657261,1.1961123528716675,5.624761439165013,9.328686361865822,0.3427856086364323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
238.8032439059928,2.0,1,3.142361425629701,0.9244044386046626,10.921226064021864,16.604477677123384,0.4027973543511427,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
277.169466163361,2.0,1,2.182707104451588,1.590381362751412,10.140123153173365,15.977772771214685,0.4044449431814455,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
680.5608611566114,4.0,1,2.9330458432919566,0.6280730466725806,11.380333761630316,18.7878512269707,0.4698407938865777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
652.5327792120477,2.0,1,1.3054939315898395,1.3421624076909515,17.222518755246615,27.23931420001919,0.5505576311291882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72.05024639400132,2.0,1,7.304535266554101,3.720813885628837,3.165188486126733,5.274958531811383,0.1607677784897271,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
585.8157705394294,2.0,1,1.0311006089592691,0.5578845347320643,19.0581054585701,30.656388128254143,0.74077228541899,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
685.8082588899896,2.0,1,1.327797157439684,0.119528106734041,28.54109036883752,39.98993881196633,0.8672141940278513,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
481.7477037211192,2.0,1,1.3663342379671055,0.5349334596105503,30.503968397362936,58.947543781296375,0.6649405029580119,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
454.6082389069907,2.0,1,1.2897592303027183,0.5521164877855617,28.00775388111325,71.34715852694718,0.6762535897752693,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
